Date,Site,TreeID,BranchID,Li600_1,Li600_2,Li600_3,Dark_Li600,jPAM_start,jPAM_end,Hour,jpam_directory
10/25/23,Garcia,G,3,8,9,10,3,11:58:27,12:01:07,12:00,102523_GarciaG_2
10/25/23,Garcia,E,1,1,2,3,1,12:51:26,12:54:06,13:00,102523_GarciaE_2
10/25/23,Garcia,E,2,4,5,6,2,12:56:01,12:58:41,13:00,102523_GarciaE_2
10/25/23,Garcia,E,3,7,8,9,3,12:59:54,13:02:34,13:00,102523_GarciaE_2
10/25/23,Garcia,H,1,1,2,3,1,13:44:42,13:47:22,14:00,102523_GarciaH_2
10/25/23,Garcia,H,2,5,6,7,2,13:49:55,13:52:35,14:00,102523_GarciaH_2
10/25/23,Garcia,H,3,8,9,10,5,13:54:06,13:56:46,14:00,102523_GarciaH_2
11/30/23,Garcia,G,1,1,2,3,1,9:59:27,10:02:11,,113023_GarciaG
11/30/23,Garcia,G,2,4,5,6,2,10:03:33,10:06:18,,113023_GarciaG
11/30/23,Garcia,G,3,7,8,9,1,10:08:47,10:11:31,,113023_GarciaG
11/30/23,Garcia,E,1,1,2,3,1,10:43:30,10:46:15,,113023_GarciaE
11/30/23,Garcia,E,2,4,5,6,2,10:50:00,10:52:44,,113023_GarciaE
11/30/23,Garcia,E,3,7,9,10,3,10:54:37,10:57:23,,113023_GarciaE
11/30/23,Garcia,H,1,1,2,3,1,11:40:51,11:43:36,,113023_GarciaH
11/30/23,Garcia,H,2,4,5,6,2,11:44:39,11:47:24,,113023_GarciaH
11/30/23,Garcia,H,3,7,8,9,3,11:49:10,11:51:55,,113023_GarciaH
1/26/24,Garcia,G,1,1,2,3,1,,,,
1/26/24,Garcia,G,2,4,5,6,2,,,,
1/26/24,Garcia,G,3,7,8,9,3,,,,
1/26/24,Garcia,E,1,1,,,1,,,,
1/26/24,Garcia,E,2,2,,,2,,,,
1/26/24,Garcia,E,3,3,,,3,,,,
1/26/24,Garcia,H,1,1,2,3,,,,,
1/26/24,Garcia,H,2,4,5,6,,,,,
1/26/24,Garcia,H,3,7,8,9,,,,,
3/11/24,Garcia,G,1,1,2,3,2,10:46:13,10:48:57,,031124_GarciaG
3/11/24,Garcia,G,2,4,5,6,1,10:50:30,10:53:15,,031124_GarciaG
3/11/24,Garcia,G,3,7,8,9,3,10:55:08,10:57:52,,031124_GarciaG
3/11/24,Garcia,E,1,1,2,3,1,12:15:56,12:18:41,,031124_GarciaE
3/11/24,Garcia,E,2,4,5,7,2,12:21:17,12:24:02,,031124_GarciaE
3/11/24,Garcia,E,3,8,9,10,3,12:26:02,12:28:47,,031124_GarciaE
3/11/24,Garcia,H,1,1,2,3,1,13:08:00,13:10:45,,031124_GarciaH
3/11/24,Garcia,H,2,4,5,6,2,13:12:03,13:14:48,,031124_GarciaH
3/11/24,Garcia,H,3,7,8,10,3,13:17:31,13:20:15,,031124_GarciaH
4/8/24,Garcia,G,1,4,5,6,1,10:08:28,10:11:13,10,040824_GarciaG
4/8/24,Garcia,G,2,1,2,3,2,10:12:37,10:15:22,10,040824_GarciaG
4/8/24,Garcia,G,3,7,8,9,3,10:16:19,10:19:04,10,040824_GarciaG
4/8/24,Garcia,E,1,1,2,3,1,10:55:00,10:57:40,11,040824_GarciaE
4/8/24,Garcia,E,2,4,5,6,2,10:59:33,11:02:28,11,040824_GarciaE
4/8/24,Garcia,E,3,7,8,10,3,11:04:42,11:07:26,11,040824_GarciaE
4/8/24,Garcia,H,1,1,2,3,1,11:47:29,11:50:14,12,040824_GarciaH
4/8/24,Garcia,H,2,4,5,6,2,11:51:07,11:53:52,12,040824_GarciaH
4/8/24,Garcia,H,3,7,8,9,3,11:55:23,11:58:08,12,040824_GarciaH
4/8/24,Garcia,G,1,1,2,3,1,12:49:31,12:52:16,13,040824_GarciaG_2
4/8/24,Garcia,G,2,4,5,6,2,12:53:26,12:56:11,13,040824_GarciaG_2
4/8/24,Garcia,G,3,7,8,9,3,12:57:16,13:00:01,13,040824_GarciaG_2
4/8/24,Garcia,E,1,2,3,4,1,13:34:19,13:37:04,13,040824_GarciaE_2
4/8/24,Garcia,E,2,5,6,7,2,13:37:57,13:40:42,13,040824_GarciaE_2
4/8/24,Garcia,E,3,8,9,10,3,13:42:32,13:45:17,13,040824_GarciaE_2
4/8/24,Garcia,H,1,1,2,3,1,14:21:10,14:23:55,14,040824_GarciaH_2
4/8/24,Garcia,H,2,4,5,6,2,14:24:52,14:27:37,14,040824_GarciaH_2
4/8/24,Garcia,H,3,7,8,9,3,14:28:34,14:31:19,14,040824_GarciaH_2
4/8/24,Garcia,G,1,1,2,3,1,15:11:02,15:13:47,15,040824_GarciaG_3
4/8/24,Garcia,G,2,5,6,7,2,15:14:54,15:17:38,15,040824_GarciaG_3
4/8/24,Garcia,G,3,8,9,10,3,,,15,
4/8/24,Garcia,E,1,1,2,3,1,15:55:59,15:58:44,16,040824_GarciaE_3
4/8/24,Garcia,E,2,4,5,6,2,15:59:56,16:02:40,16,040824_GarciaE_3
4/8/24,Garcia,E,3,7,8,9,3,16:03:41,16:06:26,16,040824_GarciaE_3
4/8/24,Garcia,H,1,1,2,3,1,16:40:08,16:42:54,17,040824_GarciaH_3
4/8/24,Garcia,H,2,4,5,6,2,16:44:09,16:46:53,17,040824_GarciaH_3
4/8/24,Garcia,H,3,7,8,9,3,16:47:49,16:50:34,17,040824_GarciaH_3
5/2/24,Garcia,G,1,1,2,3,1,9:57:46,10:00:30,10,050224_GarciaG
5/2/24,Garcia,G,2,4,5,6,2,10:03:21,10:06:06,10,050224_GarciaG
5/2/24,Garcia,G,3,7,8,9,3,10:07:12,10:09:57,10,050224_GarciaG
5/2/24,Garcia,E,1,1,2,3,1,10:44:56,10:47:40,11,050224_GarciaE
5/2/24,Garcia,E,2,4,5,6,2,10:50:19,10:53:05,11,050224_GarciaE
5/2/24,Garcia,E,3,7,8,9,3,,,11,
5/2/24,Garcia,H,1,1,2,3,5,12:02:34,12:05:18,12,050224_GarciaH
5/2/24,Garcia,H,2,4,5,6,6,,,12,
5/2/24,Garcia,H,3,7,8,9,7,12:13:27,12:16:12,12,050224_GarciaH
5/2/24,Garcia,G,1,1,2,3,1,13:18:57,13:21:42,13,050224_GarciaG_2
5/2/24,Garcia,G,2,4,5,6,2,13:26:10,13:28:54,13,050224_GarciaG_2
5/2/24,Garcia,G,3,7,8,9,3,13:30:07,13:32:52,13,050224_GarciaG_2
5/2/24,Garcia,E,1,1,2,3,1,14:14:54,14:17:39,14,050224_GarciaE_2
5/2/24,Garcia,E,2,4,5,6,2,14:21:20,14:24:05,14,050224_GarciaE_2
5/2/24,Garcia,E,3,7,8,9,3,14:27:15,14:30:00,14,050224_GarciaE_2
5/2/24,Garcia,H,1,1,2,3,1,15:11:53,15:14:38,15,050224_GarciaH_2
5/2/24,Garcia,H,2,4,5,6,2,15:15:57,15:18:42,15,050224_GarciaH_2
5/2/24,Garcia,H,3,8,9,10,3,15:20:00,15:22:44,15,050224_GarciaH_2
5/2/24,Garcia,E,1,1,2,3,1,16:11:57,16:14:42,16,050224_GarciaE_3
5/2/24,Garcia,E,2,7,8,9,2,16:16:36,16:19:21,16,050224_GarciaE_3
5/2/24,Garcia,E,3,4,5,6,3,16:20:15,16:23:00,16,050224_GarciaE_3
5/2/24,Garcia,G,1,,,,1,17:05:59,17:08:44,17,050224_GarciaG_3
5/2/24,Garcia,G,2,,,,2,17:10:15,17:13:00,17,050224_GarciaG_3
5/2/24,Garcia,G,3,,,,3,17:14:09,17:16:54,17,050224_GarciaG_3
5/20/24,Garcia,G,1,1,2,3,1,10:57:36,11:00:21,11,052024_GarciaG
